pkg	version
MASS	7.3-60
Matrix	1.6-0
R6	2.5.1
RColorBrewer	1.1-3
argparse	2.2.2
cli	3.6.1
cluster	2.1.4
colorspace	2.1-0
digest	0.6.33
dplyr	1.1.3
evaluate	0.21
fansi	1.0.4
farver	2.1.1
fastmap	1.1.1
findpython	1.0.8
generics	0.1.3
ggplot2	3.4.3
glue	1.6.2
gtable	0.3.4
highr	0.10
htmltools	0.5.6
jsonlite	1.8.7
kableExtra	1.4.0
knitr	1.44
labeling	0.4.3
lattice	0.21-8
lifecycle	1.0.3
magrittr	2.0.3
mgcv	1.9-0
munsell	0.5.0
nlme	3.1-162
permute	0.9-7
pillar	1.9.0
pkgconfig	2.0.3
purrr	1.0.2
ragg	1.3.0
rlang	1.1.1
rmarkdown	2.25
rstudioapi	0.15.0
scales	1.2.1
sessioninfo	1.2.2
stringi	1.7.12
stringr	1.5.0
svglite	2.1.1
systemfonts	1.0.4
textshaping	0.3.6
tibble	3.2.1
tidyr	1.3.0
tidyselect	1.2.0
tinytex	0.50
utf8	1.2.3
vctrs	0.6.3
vegan	2.6-5
viridisLite	0.4.2
withr	2.5.0
xfun	0.40
xml2	1.3.3
yaml	2.3.7
